,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
172,293.2195 kelvin,100.049 kilopascal,2,1,C(C(F)(F)F)F,1.0,,,,,1.2123954177018215 gram / milliliter,0.00043772957277164227 gram / milliliter,,,,,,
173,293.0 kelvin,101.325 kilopascal,2,1,C=CCCl,1.0,,,,,0.8821828600224265 gram / milliliter,0.0002350669597108192 gram / milliliter,,,,,,
174,303.15 kelvin,101.325 kilopascal,2,1,CN(C)CCO,1.0,,,,,0.8481952921625868 gram / milliliter,0.0002010495650160747 gram / milliliter,,,,,9.13121693565239 dimensionless,1.3919620802622699 dimensionless
175,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)C1,1.0,,,,,0.9527179099473462 gram / milliliter,0.00039673750126936063 gram / milliliter,,,,,9.172510956565533 dimensionless,0.5974462521708814 dimensionless
176,303.28 kelvin,100.4 kilopascal,2,1,C(=C(F)F)(C(F)(F)F)F,1.0,,,,,1.2542935892194935 gram / milliliter,0.0004220134118853462 gram / milliliter,,,,,,
177,293.15 kelvin,101.325 kilopascal,2,1,c1ccoc1,1.0,,,,,0.977527567321081 gram / milliliter,0.0003518731853507141 gram / milliliter,,,,,,
178,298.15 kelvin,101.325 kilopascal,2,1,C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,,,,,2.0403867169467143 gram / milliliter,0.00038525145446016403 gram / milliliter,,,,,,
179,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,,,0.7775463996172127 gram / milliliter,0.000409719417214961 gram / milliliter,,,,,,
180,298.15 kelvin,101.0 kilopascal,2,1,CC(=O)c1cccs1,1.0,,,,,1.1507818436640644 gram / milliliter,0.00012554879875690297 gram / milliliter,,,,,17.18994793975065 dimensionless,1.1308228762752592 dimensionless
181,293.15 kelvin,101.0 kilopascal,2,1,C(C(Br)Br)(Br)Br,1.0,,,,,3.0569649960521814 gram / milliliter,0.000353004915540269 gram / milliliter,,,,,,
182,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Br,1.0,,,,,2.0489253319245972 gram / milliliter,0.0003996746897903598 gram / milliliter,,,,,,
183,298.15 kelvin,101.0 kilopascal,2,1,c1cnc(nc1O)O,1.0,,,,,1.4416314033076907 gram / milliliter,0.00039343578316249046 gram / milliliter,,,,,,
184,303.15 kelvin,101.325 kilopascal,2,1,CSSC,1.0,,,,,0.9558673539924621 gram / milliliter,0.00041740824094637795 gram / milliliter,,,,,,
