,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
0,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.3993,C(CBr)Br,0.6007,-2.4107922377592265e-07 meter ** 3 / mole,1.6220045141627125e-08 meter ** 3 / mole,,,,,-222.93980307091988 kilogram * meter ** 2 / mole / second ** 2,17.9892234732561 kilogram * meter ** 2 / mole / second ** 2,,
1,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,-2.160956610033015e-07 meter ** 3 / mole,1.62200388362066e-08 meter ** 3 / mole,,,,,,,,
2,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7275,C(CBr)Br,0.2725,,,,,,,-289.92804105296455 kilogram * meter ** 2 / mole / second ** 2,16.622315848001286 kilogram * meter ** 2 / mole / second ** 2,,
3,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2547,CCCCOC(=O)C,0.7453000000000001,-2.471234010376788e-07 meter ** 3 / mole,1.721971181642977e-08 meter ** 3 / mole,,,,,,,,
4,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,,,,,,,-492.2536250643061 kilogram * meter ** 2 / mole / second ** 2,17.06215726164462 kilogram * meter ** 2 / mole / second ** 2,,
5,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7476,CCCCOC(=O)C,0.2524,-3.0463498605047816e-07 meter ** 3 / mole,1.6566797858956326e-08 meter ** 3 / mole,,,,,,,,
6,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7661,CCCCOC(=O)C,0.2339,,,,,,,-525.1919632504737 kilogram * meter ** 2 / mole / second ** 2,18.565909323191306 kilogram * meter ** 2 / mole / second ** 2,,
7,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,3.865640657581379e-07 meter ** 3 / mole,1.7358625751450877e-08 meter ** 3 / mole,,,,,,,,
8,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,,,193.29103982749803 kilogram * meter ** 2 / mole / second ** 2,18.988112210293725 kilogram * meter ** 2 / mole / second ** 2,,
9,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,,,286.66096059040865 kilogram * meter ** 2 / mole / second ** 2,17.808128003540297 kilogram * meter ** 2 / mole / second ** 2,,
10,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,5.162469895479612e-07 meter ** 3 / mole,1.8181584901611836e-08 meter ** 3 / mole,,,,,,,,
