,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
118,298.15 kelvin,101.325 kilopascal,6,1,COc1ccncc1,1.0,,,,,,,55102.812123814954 kilogram * meter ** 2 / mole / second ** 2,185.76952080051117 kilogram * meter ** 2 / mole / second ** 2,,,,
119,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)/C=C(/C)\O,1.0,,,,,,,53978.30428567873 kilogram * meter ** 2 / mole / second ** 2,224.4987978131866 kilogram * meter ** 2 / mole / second ** 2,,,,
120,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Cl,1.0,,,,,,,45088.68876475006 kilogram * meter ** 2 / mole / second ** 2,236.64383457954366 kilogram * meter ** 2 / mole / second ** 2,,,,
121,298.15 kelvin,101.325 kilopascal,6,1,c1cc(cc(c1)Cl)F,1.0,,,,,,,42602.1315958807 kilogram * meter ** 2 / mole / second ** 2,243.12010355422416 kilogram * meter ** 2 / mole / second ** 2,,,,
122,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Br,1.0,,,,,,,49340.73516280122 kilogram * meter ** 2 / mole / second ** 2,155.08294795910822 kilogram * meter ** 2 / mole / second ** 2,,,,
123,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccco1,1.0,,,,,,,49677.81557367964 kilogram * meter ** 2 / mole / second ** 2,174.5345245799828 kilogram * meter ** 2 / mole / second ** 2,,,,
124,298.15 kelvin,101.325 kilopascal,6,1,CC(=CCOC(=O)C)C,1.0,,,,,,,57494.300884596145 kilogram * meter ** 2 / mole / second ** 2,221.91045275619092 kilogram * meter ** 2 / mole / second ** 2,,,,
125,298.15 kelvin,101.325 kilopascal,6,1,C/C=C/C=C/COC(=O)C,1.0,,,,,,,63210.75935541502 kilogram * meter ** 2 / mole / second ** 2,340.1623943797219 kilogram * meter ** 2 / mole / second ** 2,,,,
126,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)OCCc1ccccc1,1.0,,,,,,,74991.17775815568 kilogram * meter ** 2 / mole / second ** 2,236.54110505239 kilogram * meter ** 2 / mole / second ** 2,,,,
127,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1)O,1.0,,,,,,,67965.16751857547 kilogram * meter ** 2 / mole / second ** 2,279.20512888167883 kilogram * meter ** 2 / mole / second ** 2,,,,
128,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1OC)O,1.0,,,,,,,68687.75180395864 kilogram * meter ** 2 / mole / second ** 2,310.51268760646866 kilogram * meter ** 2 / mole / second ** 2,,,,
129,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C(=O)C,1.0,,,,,,,65233.635814446774 kilogram * meter ** 2 / mole / second ** 2,288.79715818290265 kilogram * meter ** 2 / mole / second ** 2,,,,
130,298.15 kelvin,101.325 kilopascal,6,1,Cc1cc(sc1)C(=O)C,1.0,,,,,,,67862.88625370148 kilogram * meter ** 2 / mole / second ** 2,279.47681054771033 kilogram * meter ** 2 / mole / second ** 2,,,,
131,298.15 kelvin,101.325 kilopascal,6,1,c1coc2c1C(=O)CCC2,1.0,,,,,,,68242.0655904637 kilogram * meter ** 2 / mole / second ** 2,265.9474811795219 kilogram * meter ** 2 / mole / second ** 2,,,,
132,298.15 kelvin,101.325 kilopascal,6,1,Cn1cccc1C(=O)OC,1.0,,,,,,,71511.63335854548 kilogram * meter ** 2 / mole / second ** 2,217.62562315696576 kilogram * meter ** 2 / mole / second ** 2,,,,
133,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)c1cccs1,1.0,,,,,,,68168.06305103083 kilogram * meter ** 2 / mole / second ** 2,298.17849297364234 kilogram * meter ** 2 / mole / second ** 2,,,,
134,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccc(s1)C=O,1.0,,,,,,,56604.83069797211 kilogram * meter ** 2 / mole / second ** 2,239.44090083638497 kilogram * meter ** 2 / mole / second ** 2,,,,
