,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,Density Value,Density Uncertainty
95,298.15 kelvin,101.325 kilopascal,2,1,CCCOC(=O)C,1.0,,,,,,,,,,,882.21 kilogram / meter ** 3,0.0 kilogram / meter ** 3
96,298.15 kelvin,101.325 kilopascal,2,1,CC(=O)OC,1.0,,,,,,,,,,,927.1 kilogram / meter ** 3,0.0 kilogram / meter ** 3
97,300.15 kelvin,101.325 kilopascal,2,1,CCCO,1.0,,,,,,,20.678 dimensionless,0.0 dimensionless,,,798.5 kilogram / meter ** 3,0.0 kilogram / meter ** 3
98,303.15 kelvin,101.0 kilopascal,2,1,CS(=O)C,1.0,,,,,,,45.94 dimensionless,0.0 dimensionless,,,1090.73 kilogram / meter ** 3,0.0 kilogram / meter ** 3
99,298.15 kelvin,101.0 kilopascal,2,1,CO,1.0,,,,,,,32.6 dimensionless,0.0 dimensionless,,,786.59 kilogram / meter ** 3,0.0 kilogram / meter ** 3
100,298.15 kelvin,101.325 kilopascal,2,1,c1ccncc1,1.0,,,,,,,,,,,978.138 kilogram / meter ** 3,0.0 kilogram / meter ** 3
101,298.15 kelvin,101.325 kilopascal,2,1,COC=O,1.0,,,,,,,,,,,966.1 kilogram / meter ** 3,0.0 kilogram / meter ** 3
102,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC=O,1.0,,,,,,,,,,,888.47 kilogram / meter ** 3,0.0 kilogram / meter ** 3
103,298.15 kelvin,101.325 kilopascal,2,1,C(=C(Cl)Cl)Cl,1.0,,,,,,,,,,,1455.53 kilogram / meter ** 3,0.0 kilogram / meter ** 3
104,295.15 kelvin,101.325 kilopascal,2,1,C(CBr)Br,1.0,,,,,,,,,,,2168.3 kilogram / meter ** 3,0.0 kilogram / meter ** 3
105,298.15 kelvin,101.325 kilopascal,2,1,CCCC(=O)OC,1.0,,,,,,,,,,,892.38 kilogram / meter ** 3,0.0 kilogram / meter ** 3
106,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Cl,1.0,,,,,,,,,,,1584.3 kilogram / meter ** 3,0.0 kilogram / meter ** 3
107,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)(C(F)(F)F)O,1.0,,,,,,,,,,,1604.84 kilogram / meter ** 3,0.0 kilogram / meter ** 3
108,298.15 kelvin,101.0 kilopascal,2,1,C(COCCO)O,1.0,,,,,,,30.95 dimensionless,0.0 dimensionless,,,1112.4 kilogram / meter ** 3,0.0 kilogram / meter ** 3
109,298.15 kelvin,101.325 kilopascal,2,1,CCCCCCCl,1.0,,,,,,,,,,,873.38 kilogram / meter ** 3,0.0 kilogram / meter ** 3
110,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccncc1,1.0,,,,,,,,,,,950.179 kilogram / meter ** 3,0.0 kilogram / meter ** 3
111,298.15 kelvin,101.325 kilopascal,2,1,CCC#N,1.0,,,,,,,,,,,775.4 kilogram / meter ** 3,0.0 kilogram / meter ** 3
112,298.15 kelvin,101.325 kilopascal,2,1,C1COCCN1,1.0,,,,,,,,,,,996.0 kilogram / meter ** 3,0.0 kilogram / meter ** 3
113,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccnc1,1.0,,,,,,,,,,,952.002 kilogram / meter ** 3,0.0 kilogram / meter ** 3
114,298.15 kelvin,101.325 kilopascal,2,1,Cn1ccnc1,1.0,,,,,,,,,,,1031.14 kilogram / meter ** 3,0.0 kilogram / meter ** 3
115,298.15 kelvin,101.325 kilopascal,2,1,CN1CCCCC1,1.0,,,,,,,,,,,810.887 kilogram / meter ** 3,0.0 kilogram / meter ** 3
116,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccc(n1)C,1.0,,,,,,,,,,,918.19 kilogram / meter ** 3,0.0 kilogram / meter ** 3
117,298.15 kelvin,101.325 kilopascal,6,1,COc1ccccn1,1.0,,,,,,,,,45.1 kilojoule / mole,0.0 kilojoule / mole,,
118,298.15 kelvin,101.325 kilopascal,6,1,COc1ccncc1,1.0,,,,,,,,,57.4 kilojoule / mole,0.0 kilojoule / mole,,
119,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)/C=C(/C)\O,1.0,,,,,,,,,54.7 kilojoule / mole,0.0 kilojoule / mole,,
120,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Cl,1.0,,,,,,,,,44.0 kilojoule / mole,0.0 kilojoule / mole,,
121,298.15 kelvin,101.325 kilopascal,6,1,c1cc(cc(c1)Cl)F,1.0,,,,,,,,,43.0 kilojoule / mole,0.0 kilojoule / mole,,
122,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Br,1.0,,,,,,,,,47.0 kilojoule / mole,0.0 kilojoule / mole,,
123,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccco1,1.0,,,,,,,,,53.0 kilojoule / mole,0.0 kilojoule / mole,,
124,298.15 kelvin,101.325 kilopascal,6,1,CC(=CCOC(=O)C)C,1.0,,,,,,,,,47.8 kilojoule / mole,0.0 kilojoule / mole,,
125,298.15 kelvin,101.325 kilopascal,6,1,C/C=C/C=C/COC(=O)C,1.0,,,,,,,,,54.7 kilojoule / mole,0.0 kilojoule / mole,,
126,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)OCCc1ccccc1,1.0,,,,,,,,,61.3 kilojoule / mole,0.0 kilojoule / mole,,
127,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1)O,1.0,,,,,,,,,75.9 kilojoule / mole,0.0 kilojoule / mole,,
128,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1OC)O,1.0,,,,,,,,,76.5 kilojoule / mole,0.0 kilojoule / mole,,
129,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C(=O)C,1.0,,,,,,,,,57.1 kilojoule / mole,0.0 kilojoule / mole,,
130,298.15 kelvin,101.325 kilopascal,6,1,Cc1cc(sc1)C(=O)C,1.0,,,,,,,,,63.0 kilojoule / mole,0.0 kilojoule / mole,,
131,298.15 kelvin,101.325 kilopascal,6,1,c1coc2c1C(=O)CCC2,1.0,,,,,,,,,69.4 kilojoule / mole,0.0 kilojoule / mole,,
132,298.15 kelvin,101.325 kilopascal,6,1,Cn1cccc1C(=O)OC,1.0,,,,,,,,,59.2 kilojoule / mole,0.0 kilojoule / mole,,
133,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)c1cccs1,1.0,,,,,,,,,61.2 kilojoule / mole,0.0 kilojoule / mole,,
134,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)CN=[N+]=[N-],1.0,,,,,,,,,56.3 kilojoule / mole,0.0 kilojoule / mole,,
135,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccc(s1)C=O,1.0,,,,,,,,,56.2 kilojoule / mole,0.0 kilojoule / mole,,
136,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C=O,1.0,,,,,,,,,57.7 kilojoule / mole,0.0 kilojoule / mole,,
