,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,Density Value,Density Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
0,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.7903,C(=C(Cl)Cl)Cl,0.2097,8.173744981020332e-08 meter ** 3 / mole,1.6356376743412292e-08 meter ** 3 / mole,,,,,,,,
1,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.2077,C(=C(Cl)Cl)Cl,0.7923,6.066614939661305e-08 meter ** 3 / mole,1.7858130120090014e-08 meter ** 3 / mole,,,,,,,,
2,298.15 kelvin,101.325 kilopascal,2,1,C(=C(Cl)Cl)Cl,1.0,,,,,,,1.388660379003094 gram / milliliter,0.00041830827879380254 gram / milliliter,,,,
3,303.28 kelvin,100.4 kilopascal,2,1,C(=C(F)F)(C(F)(F)F)F,1.0,,,,,,,1.1720130126033836 gram / milliliter,0.0004205158379665332 gram / milliliter,,,,
4,293.15 kelvin,101.325 kilopascal,2,1,C(=O)(C(F)(F)F)O,1.0,,,,,,,1.555204593290386 gram / milliliter,0.00041978111958242056 gram / milliliter,,,,
5,293.15 kelvin,101.0 kilopascal,2,1,C(C(Br)Br)(Br)Br,1.0,,,,,,,2.390297151755067 gram / milliliter,0.00037821810178695597 gram / milliliter,,,,
6,298.15 kelvin,101.325 kilopascal,2,1,C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,,,,,,,1.8708473746198622 gram / milliliter,0.0003539276672532602 gram / milliliter,,,,
7,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.205,O,0.795,-3.666963878081397e-07 meter ** 3 / mole,1.4963981713224944e-08 meter ** 3 / mole,,,,,,,,
8,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.8065,O,0.1935,-1.0704834877171355e-07 meter ** 3 / mole,1.492707323499144e-08 meter ** 3 / mole,,,,,,,,
9,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)(C(F)(F)F)O,1.0,,,,,,,1.531907507978872 gram / milliliter,0.0004063647375065542 gram / milliliter,,,,
10,293.2195 kelvin,100.049 kilopascal,2,1,C(C(F)(F)F)F,1.0,,,,,,,1.1637708560962108 gram / milliliter,0.0004185062004293303 gram / milliliter,,,,
11,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.20133,CCCO,0.79867,,,,,,,-424.7727032873008 kilogram * meter ** 2 / mole / second ** 2,16.590085783839385 kilogram * meter ** 2 / mole / second ** 2,,
12,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.7170000000000001,C(C(F)(F)F)O,0.28300000000000003,,,,,,,-1628.596672429936 kilogram * meter ** 2 / mole / second ** 2,17.60289728103924 kilogram * meter ** 2 / mole / second ** 2,,
13,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29705,CO,0.70295,,,,,,,-566.0973231608368 kilogram * meter ** 2 / mole / second ** 2,17.677900961440386 kilogram * meter ** 2 / mole / second ** 2,,
14,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29878000000000005,O,0.70122,,,,,,,477.0130404222182 kilogram * meter ** 2 / mole / second ** 2,17.204559663402645 kilogram * meter ** 2 / mole / second ** 2,,
15,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29919,CCO,0.7008099999999999,,,,,,,-554.2812884640298 kilogram * meter ** 2 / mole / second ** 2,19.08030820434863 kilogram * meter ** 2 / mole / second ** 2,,
16,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.7077899999999999,O,0.29220999999999997,,,,,,,707.0107924465556 kilogram * meter ** 2 / mole / second ** 2,16.704849885576873 kilogram * meter ** 2 / mole / second ** 2,,
17,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.70985,CO,0.29015,,,,,,,-493.2734304125188 kilogram * meter ** 2 / mole / second ** 2,16.94211582554708 kilogram * meter ** 2 / mole / second ** 2,,
18,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.212,C(C(F)(F)F)O,0.7879999999999999,,,,,,,-1274.3198724695249 kilogram * meter ** 2 / mole / second ** 2,17.15951092441953 kilogram * meter ** 2 / mole / second ** 2,,
19,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79638,CCO,0.20362,,,,,,,-302.2431781216874 kilogram * meter ** 2 / mole / second ** 2,17.299084264452105 kilogram * meter ** 2 / mole / second ** 2,,
20,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79867,CCCO,0.20133,,,,,,,-227.42775444335712 kilogram * meter ** 2 / mole / second ** 2,16.00265032972802 kilogram * meter ** 2 / mole / second ** 2,,
21,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)O,1.0,,,,,,,1.3291020496233013 gram / milliliter,0.00037093027287406406 gram / milliliter,,,,
22,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,,,,,,,-838.8501270817724 kilogram * meter ** 2 / mole / second ** 2,16.14291315528478 kilogram * meter ** 2 / mole / second ** 2,,
23,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,-5.941678200542549e-07 meter ** 3 / mole,1.7709339767314632e-08 meter ** 3 / mole,,,,,,,,
24,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2547,CCCCOC(=O)C,0.7453000000000001,-6.405667834367469e-07 meter ** 3 / mole,1.7977451755974547e-08 meter ** 3 / mole,,,,,,,,
25,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7275,C(CBr)Br,0.2725,,,,,,,-573.9653167842189 kilogram * meter ** 2 / mole / second ** 2,17.718821170368216 kilogram * meter ** 2 / mole / second ** 2,,
26,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.3993,C(CBr)Br,0.6007,-7.679894787061386e-07 meter ** 3 / mole,1.859003356225658e-08 meter ** 3 / mole,,,,,-487.2211628922996 kilogram * meter ** 2 / mole / second ** 2,16.160345858336782 kilogram * meter ** 2 / mole / second ** 2,,
27,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7476,CCCCOC(=O)C,0.2524,-7.826849741417858e-07 meter ** 3 / mole,1.7839321463169337e-08 meter ** 3 / mole,,,,,,,,
28,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7661,CCCCOC(=O)C,0.2339,,,,,,,-897.4648475739941 kilogram * meter ** 2 / mole / second ** 2,16.658761202517148 kilogram * meter ** 2 / mole / second ** 2,,
29,295.15 kelvin,101.325 kilopascal,2,1,C(CBr)Br,1.0,,,,,,,1.8301592712019925 gram / milliliter,0.00039015726551956925 gram / milliliter,,,,
30,298.15 kelvin,101.325 kilopascal,2,1,C(CBr)Cl,1.0,,,,,,,1.550804507809034 gram / milliliter,0.0003819083115070613 gram / milliliter,,,,
31,298.15 kelvin,101.325 kilopascal,2,1,C(CCBr)CCl,1.0,,,,,,,1.3787460657598392 gram / milliliter,0.0004435418479872857 gram / milliliter,,,,
32,298.15 kelvin,101.0 kilopascal,2,2,O,0.7847,C(CCO)CO,0.2153,-2.038672138862034e-07 meter ** 3 / mole,1.203259382950241e-08 meter ** 3 / mole,,,,,,,,
33,298.15 kelvin,101.0 kilopascal,2,2,C(CCO)CO,0.2658,O,0.7342,,,,,,,240.64609450339412 kilogram * meter ** 2 / mole / second ** 2,18.216160267514674 kilogram * meter ** 2 / mole / second ** 2,,
34,298.15 kelvin,101.0 kilopascal,2,2,O,0.2297,C(CCO)CO,0.7703,-1.885682958549875e-07 meter ** 3 / mole,1.5237597742692935e-08 meter ** 3 / mole,,,,,,,,
35,298.15 kelvin,101.0 kilopascal,2,2,C(CCO)CO,0.7947,O,0.20530000000000004,,,,,,,-4.937016191960538 kilogram * meter ** 2 / mole / second ** 2,16.607789257925717 kilogram * meter ** 2 / mole / second ** 2,,
36,298.15 kelvin,101.325 kilopascal,2,1,C(CCO)CO,1.0,,,,,75803.71949835072 kilogram * meter ** 2 / mole / second ** 2,277.2586205984784 kilogram * meter ** 2 / mole / second ** 2,1.026172626618812 gram / milliliter,0.0004036247030039107 gram / milliliter,,,,
37,298.15 kelvin,101.325 kilopascal,2,1,C(CCl)CBr,1.0,,,,,,,1.452697521931603 gram / milliliter,0.0003392117556660078 gram / milliliter,,,,
38,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.2087,O,0.7913,,,,,,,111.82801325205219 kilogram * meter ** 2 / mole / second ** 2,17.700495509923435 kilogram * meter ** 2 / mole / second ** 2,,
39,298.15 kelvin,101.0 kilopascal,2,2,O,0.7551,C(CO)CO,0.2449,-2.2664078149543476e-07 meter ** 3 / mole,1.3221424888559332e-08 meter ** 3 / mole,,,,,,,,
40,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.743,O,0.257,,,,,,,33.923989034607075 kilogram * meter ** 2 / mole / second ** 2,16.48992733909952 kilogram * meter ** 2 / mole / second ** 2,,
41,298.15 kelvin,101.0 kilopascal,2,2,O,0.2554,C(CO)CO,0.7446,-2.0044675402919532e-07 meter ** 3 / mole,1.5117291728778194e-08 meter ** 3 / mole,,,,,,,,
42,298.15 kelvin,101.325 kilopascal,2,1,C(CO)CO,1.0,,,,,67943.83108813953 kilogram * meter ** 2 / mole / second ** 2,254.5489277671824 kilogram * meter ** 2 / mole / second ** 2,1.0612485265024465 gram / milliliter,0.0002653016029570332 gram / milliliter,,,,
43,303.15 kelvin,101.325 kilopascal,2,1,C(CO)N(CCO)CCO,1.0,,,,,,,1.1655190195596261 gram / milliliter,0.00025302622772718726 gram / milliliter,,,7.519266470347525 dimensionless,1.1924594577056855 dimensionless
44,303.15 kelvin,101.325 kilopascal,2,1,C(CO)NCCO,1.0,,,,,,,1.1325213483634964 gram / milliliter,0.00033092419558122625 gram / milliliter,,,3.7954221920146844 dimensionless,0.8013340634733921 dimensionless
45,303.15 kelvin,101.0 kilopascal,2,1,C(CO)N,1.0,,,,,,,1.0697733362722943 gram / milliliter,0.0001852254873999159 gram / milliliter,,,16.05872947417471 dimensionless,1.073551035491497 dimensionless
46,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.20509999999999995,O,0.7949,,,,,,,-50.920734515199 kilogram * meter ** 2 / mole / second ** 2,17.017761382469708 kilogram * meter ** 2 / mole / second ** 2,,
47,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.25008,O,0.7499199999999999,-2.5139045849435527e-07 meter ** 3 / mole,1.0178531845407672e-08 meter ** 3 / mole,,,,,,,,
48,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.77876,O,0.22124,-1.134703313956329e-07 meter ** 3 / mole,1.3507514474731439e-08 meter ** 3 / mole,,,,,,,,
49,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.7908999999999999,O,0.2091,,,,,,,57.338405277936545 kilogram * meter ** 2 / mole / second ** 2,16.217128453608353 kilogram * meter ** 2 / mole / second ** 2,,
50,298.15 kelvin,101.325 kilopascal,2,1,C(CO)O,1.0,,,,,58993.26113310726 kilogram * meter ** 2 / mole / second ** 2,206.5665134034571 kilogram * meter ** 2 / mole / second ** 2,1.1235812031932604 gram / milliliter,0.00035869549582762567 gram / milliliter,,,,
51,303.15 kelvin,101.325 kilopascal,2,1,C(CO)O,1.0,,,,,,,1.1190748542806697 gram / milliliter,0.0002185497934497084 gram / milliliter,,,21.330396769630827 dimensionless,1.4191882791422386 dimensionless
52,298.15 kelvin,101.0 kilopascal,2,2,C(COCCO)O,0.20020000000000004,O,0.7998,,,,,,,-72.40615521299151 kilogram * meter ** 2 / mole / second ** 2,17.376770633096683 kilogram * meter ** 2 / mole / second ** 2,,
53,298.15 kelvin,101.0 kilopascal,2,2,C(COCCO)O,0.7906,O,0.2094,,,,,,,126.91719070028921 kilogram * meter ** 2 / mole / second ** 2,16.700389621884916 kilogram * meter ** 2 / mole / second ** 2,,
54,298.15 kelvin,101.0 kilopascal,2,1,C(COCCO)O,1.0,,,,,,,1.163461386614085 gram / milliliter,0.000318130694761534 gram / milliliter,,,8.63833820895022 dimensionless,1.1745800644870241 dimensionless
55,298.15 kelvin,101.0 kilopascal,2,1,C(COCCOCCO)O,1.0,,,,,,,1.1793472765010509 gram / milliliter,0.0003556101742162957 gram / milliliter,,,5.579972705003314 dimensionless,0.9618969856425301 dimensionless
56,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Br,1.0,,,,,,,1.8967783034561796 gram / milliliter,0.00040316888236999687 gram / milliliter,,,,
57,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.7326,C(Cl)(Cl)(Cl)Cl,0.2674,,,,,,,741.3128742663812 kilogram * meter ** 2 / mole / second ** 2,15.998980864526581 kilogram * meter ** 2 / mole / second ** 2,,
58,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.2551,C(Cl)(Cl)(Cl)Cl,0.7449,,,,,,,1003.1848552289165 kilogram * meter ** 2 / mole / second ** 2,16.410918268317413 kilogram * meter ** 2 / mole / second ** 2,,
59,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Cl,1.0,,,,,,,1.6176027251338436 gram / milliliter,0.0003682217707460742 gram / milliliter,,,,
60,298.15 kelvin,101.325 kilopascal,6,1,C/C=C/C=C/COC(=O)C,1.0,,,,,64726.91073006887 kilogram * meter ** 2 / mole / second ** 2,321.441489759396 kilogram * meter ** 2 / mole / second ** 2,,,,,,
61,298.15 kelvin,101.0 kilopascal,2,1,C1CC(=O)OC1,1.0,,,,,,,1.1401530256141825 gram / milliliter,8.582182230656268e-05 gram / milliliter,,,32.24072630007694 dimensionless,1.4134719823400088 dimensionless
62,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)C1,1.0,,,,,,,0.9287989732714581 gram / milliliter,0.0002635177359587837 gram / milliliter,,,9.129504265077355 dimensionless,1.1843720636338497 dimensionless
63,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7569,C1CCC(=O)CC1,0.2431,,,,,,,381.1825425737916 kilogram * meter ** 2 / mole / second ** 2,16.32406610496948 kilogram * meter ** 2 / mole / second ** 2,,
64,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7218,C1CCC(=O)CC1,0.2782,6.752457638487821e-08 meter ** 3 / mole,1.8682646279115182e-08 meter ** 3 / mole,,,,,,,,
65,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2762,C1CCC(=O)CC1,0.7238,,,,,,,387.0835340244994 kilogram * meter ** 2 / mole / second ** 2,17.149710560065433 kilogram * meter ** 2 / mole / second ** 2,,
66,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2241,C1CCC(=O)CC1,0.7759,1.4054583439699058e-07 meter ** 3 / mole,1.6277103915050587e-08 meter ** 3 / mole,,,,,,,,
67,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)CC1,1.0,,,,,,,0.9337613078306595 gram / milliliter,0.00023386328847267273 gram / milliliter,,,10.971171098309288 dimensionless,1.1105712250225004 dimensionless
68,298.15 kelvin,101.325 kilopascal,2,1,C1CCOC1,1.0,,,,,,,0.9131111533590207 gram / milliliter,0.0003082970995581213 gram / milliliter,,,,
69,298.15 kelvin,101.0 kilopascal,2,1,C1CCS(=O)(=O)C1,1.0,,,,,,,1.325303676236634 gram / milliliter,0.0003699209174123339 gram / milliliter,,,4.896403762120546 dimensionless,0.9001369425405111 dimensionless
70,313.15 kelvin,101.0 kilopascal,2,2,C1COCCN1,0.2968,O,0.7032,,,,,,,-1739.347404013075 kilogram * meter ** 2 / mole / second ** 2,18.382132901495947 kilogram * meter ** 2 / mole / second ** 2,,
71,298.15 kelvin,101.325 kilopascal,2,1,C1COCCN1,1.0,,,,,,,1.1032822853647815 gram / milliliter,0.0003857967983164262 gram / milliliter,,,,
72,293.0 kelvin,101.325 kilopascal,2,1,C=CCCl,1.0,,,,,,,0.8810470262898292 gram / milliliter,0.0003667626706551639 gram / milliliter,,,,
73,298.15 kelvin,101.325 kilopascal,2,1,CC(=C)C(=O)OCCO,1.0,,,,,,,1.0971664220802417 gram / milliliter,0.0003254242935587976 gram / milliliter,,,,
