,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,Density Value,Density Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
74,298.15 kelvin,101.325 kilopascal,6,1,CC(=CCOC(=O)C)C,1.0,,,,,59001.93264933246 kilogram * meter ** 2 / mole / second ** 2,287.8492590798267 kilogram * meter ** 2 / mole / second ** 2,,,,,,
75,303.15 kelvin,101.325 kilopascal,2,1,CC(=O)N(C)C,1.0,,,,,,,0.935615655835981 gram / milliliter,0.00020747362696272372 gram / milliliter,,,24.381669466133175 dimensionless,1.4891556728385278 dimensionless
76,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)OCCc1ccccc1,1.0,,,,,75677.3435875618 kilogram * meter ** 2 / mole / second ** 2,249.10604059532716 kilogram * meter ** 2 / mole / second ** 2,,,,,,
77,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7696000000000001,CC(=O)OC,0.2304,,,,,,,85.82261073674454 kilogram * meter ** 2 / mole / second ** 2,18.431287963921257 kilogram * meter ** 2 / mole / second ** 2,,
78,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7519,CC(=O)OC,0.2481,3.011803325380963e-07 meter ** 3 / mole,1.6680796886752655e-08 meter ** 3 / mole,,,,,,,,
79,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.25680000000000003,CC(=O)OC,0.7432,2.7156987247860416e-07 meter ** 3 / mole,1.6804490089897804e-08 meter ** 3 / mole,,,,,,,,
80,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.2372,CC(=O)OC,0.7628,,,,,,,164.76124117762083 kilogram * meter ** 2 / mole / second ** 2,18.45496224043235 kilogram * meter ** 2 / mole / second ** 2,,
81,298.15 kelvin,101.325 kilopascal,2,1,CC(=O)OC,1.0,,,,,,,0.968683065563653 gram / milliliter,0.0002678375165511188 gram / milliliter,,,,
82,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1cccc(c1)OC,1.0,,,,,77326.56961332427 kilogram * meter ** 2 / mole / second ** 2,228.67143911361524 kilogram * meter ** 2 / mole / second ** 2,,,,,,
83,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccccc1OC,1.0,,,,,71948.15338917362 kilogram * meter ** 2 / mole / second ** 2,208.72028601783663 kilogram * meter ** 2 / mole / second ** 2,,,,,,
84,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccco1,1.0,,,,,53288.23306884124 kilogram * meter ** 2 / mole / second ** 2,237.9818641454616 kilogram * meter ** 2 / mole / second ** 2,,,,,,
85,298.15 kelvin,101.0 kilopascal,2,1,CC(=O)c1cccs1,1.0,,,,,,,1.158717529911507 gram / milliliter,0.00013891555657394598 gram / milliliter,,,16.571024298675184 dimensionless,1.2969961747723808 dimensionless
86,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.27780000000000005,COC=O,0.7222,3.066159783614644e-07 meter ** 3 / mole,1.3779046715477623e-08 meter ** 3 / mole,,,,,891.6461535093968 kilogram * meter ** 2 / mole / second ** 2,19.134597025237323 kilogram * meter ** 2 / mole / second ** 2,,
87,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7127,COC=O,0.2873,,,,,,,913.7968560763329 kilogram * meter ** 2 / mole / second ** 2,17.47942970984733 kilogram * meter ** 2 / mole / second ** 2,,
88,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7581,COC=O,0.2419,3.590917379607349e-07 meter ** 3 / mole,1.5671069882808562e-08 meter ** 3 / mole,,,,,,,,
89,298.15 kelvin,100.0 kilopascal,2,1,CC(C)(C)O,1.0,,,,,,,0.8085341240048979 gram / milliliter,0.0003498325156392807 gram / milliliter,,,7.531890903206518 dimensionless,1.2650378170484868 dimensionless
90,303.15 kelvin,101.325 kilopascal,2,1,CC(C)(CO)N,1.0,,,,,,,0.9712369520703452 gram / milliliter,0.00027126555976757363 gram / milliliter,,,7.847252290132005 dimensionless,1.454990076286357 dimensionless
91,298.15 kelvin,101.0 kilopascal,2,1,CC(C)CO,1.0,,,,,,,0.8113296784187943 gram / milliliter,0.0002713762965206646 gram / milliliter,,,4.781315445293837 dimensionless,0.6537480923665511 dimensionless
92,300.15 kelvin,101.325 kilopascal,2,1,CC(C)O,1.0,,,,,,,0.794558646267192 gram / milliliter,0.00029643897933339676 gram / milliliter,,,8.40720807457118 dimensionless,0.9370141724312101 dimensionless
93,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,,,,,0.7948134418363912 gram / milliliter,0.0003141995039112415 gram / milliliter,,,,
94,298.15 kelvin,101.325 kilopascal,2,1,CCC#N,1.0,,,,,,,0.7724953850204096 gram / milliliter,0.00023339433903474716 gram / milliliter,,,,
95,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,,,288.76239535590867 kilogram * meter ** 2 / mole / second ** 2,17.680902123017237 kilogram * meter ** 2 / mole / second ** 2,,
96,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,-3.8455621992003215e-07 meter ** 3 / mole,1.681461870947785e-08 meter ** 3 / mole,,,,,,,,
97,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,,,236.82237609705408 kilogram * meter ** 2 / mole / second ** 2,16.705703486633283 kilogram * meter ** 2 / mole / second ** 2,,
98,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,-3.439439816910124e-07 meter ** 3 / mole,1.5405809162796064e-08 meter ** 3 / mole,,,,,,,,
99,298.15 kelvin,101.325 kilopascal,2,1,CCC(=O)C,1.0,,,,,,,0.7829319961209802 gram / milliliter,0.000313115499632893 gram / milliliter,,,,
100,298.15 kelvin,101.3 kilopascal,2,2,O,0.997803,CCCC(=O)OC,0.002197,,,,,,,-9.064921317076369 kilogram * meter ** 2 / mole / second ** 2,15.170917358878137 kilogram * meter ** 2 / mole / second ** 2,,
101,298.15 kelvin,101.325 kilopascal,2,1,CCCC(=O)OC,1.0,,,,,,,0.9182199761735261 gram / milliliter,0.00024718354979096736 gram / milliliter,,,,
102,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCCO,1.0,,,,,,,0.827531802905176 gram / milliliter,0.00018878910593393252 gram / milliliter,,,1.596112303111106 dimensionless,0.1447234174500072 dimensionless
103,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCO,1.0,,,,,,,0.8225590797270736 gram / milliliter,0.00023796376770852205 gram / milliliter,,,2.8058216344318896 dimensionless,0.27143181686738904 dimensionless
104,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,4.494041764994879e-07 meter ** 3 / mole,1.8376624576183464e-08 meter ** 3 / mole,,,,,,,,
105,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,,,292.2009734362364 kilogram * meter ** 2 / mole / second ** 2,17.42604342206465 kilogram * meter ** 2 / mole / second ** 2,,
106,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,3.2529592656753317e-07 meter ** 3 / mole,1.8531505853258207e-08 meter ** 3 / mole,,,,,,,,
107,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,,,187.6222771108005 kilogram * meter ** 2 / mole / second ** 2,18.354476045766802 kilogram * meter ** 2 / mole / second ** 2,,
108,298.15 kelvin,101.325 kilopascal,2,1,CCCCCCCl,1.0,,,,,,,0.8660767414278022 gram / milliliter,0.00018639595659775517 gram / milliliter,,,,
109,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCO,1.0,,,,,,,0.817494085368499 gram / milliliter,0.0002413225691936676 gram / milliliter,,,3.966805317594392 dimensionless,0.5526364765063596 dimensionless
110,298.15 kelvin,101.325 kilopascal,2,1,CCCCCO,1.0,,,,,,,0.8110863885468197 gram / milliliter,0.000260758742328075 gram / milliliter,,,6.29876070265443 dimensionless,0.6587771845966278 dimensionless
111,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC(=O)C,1.0,,,,,,,0.9008503166269092 gram / milliliter,0.0002590818795060256 gram / milliliter,,,,
112,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC=O,1.0,,,,,,,0.9305769849563384 gram / milliliter,0.00026766299191934755 gram / milliliter,,,,
113,298.15 kelvin,101.0 kilopascal,2,1,CCCCO,1.0,,,,,,,0.8043813695468263 gram / milliliter,0.00029365046286756265 gram / milliliter,,,6.342882076494075 dimensionless,0.8471724238439201 dimensionless
114,318.15 kelvin,101.3 kilopascal,2,2,O,0.997504,CCCOC(=O)C,0.002496,,,,,,,-5.7534062293416355 kilogram * meter ** 2 / mole / second ** 2,15.77139603932277 kilogram * meter ** 2 / mole / second ** 2,,
115,298.15 kelvin,101.325 kilopascal,2,1,CCCOC(=O)C,1.0,,,,,,,0.9106231364143595 gram / milliliter,0.0002944991830115942 gram / milliliter,,,,
116,298.15 kelvin,101.0 kilopascal,2,1,CCCOCCO,1.0,,,,,,,0.9307537854689933 gram / milliliter,0.00027098506265028005 gram / milliliter,,,4.511019065174397 dimensionless,0.5680389269378684 dimensionless
117,300.15 kelvin,101.325 kilopascal,2,1,CCCO,1.0,,,,,,,0.7970518309437756 gram / milliliter,0.00036051254160973157 gram / milliliter,,,7.297769964916133 dimensionless,0.7768255903013846 dimensionless
118,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)/C=C(/C)\O,1.0,,,,,58714.040527213256 kilogram * meter ** 2 / mole / second ** 2,289.80700162274286 kilogram * meter ** 2 / mole / second ** 2,,,,,,
119,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)CN=[N+]=[N-],1.0,,,,,66603.8310633786 kilogram * meter ** 2 / mole / second ** 2,188.04949846862667 kilogram * meter ** 2 / mole / second ** 2,,,,,,
120,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)c1cccs1,1.0,,,,,69873.70213736955 kilogram * meter ** 2 / mole / second ** 2,286.9534090833168 kilogram * meter ** 2 / mole / second ** 2,,,,,,
121,303.15 kelvin,101.325 kilopascal,2,1,CCO,1.0,,,,,,,0.7819820612605942 gram / milliliter,0.0004362127740562874 gram / milliliter,,,11.626510163515126 dimensionless,0.9697429598115058 dimensionless
122,298.15 kelvin,101.325 kilopascal,6,1,CCc1ccc(s1)C=O,1.0,,,,,61933.909041978164 kilogram * meter ** 2 / mole / second ** 2,453.1289493788118 kilogram * meter ** 2 / mole / second ** 2,,,,,,
