,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
0,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.3993,C(CBr)Br,0.6007,-7.259934170427909e-07 meter ** 3 / mole,1.6972278638221195e-08 meter ** 3 / mole,,,,,-476.90439822770713 kilogram * meter ** 2 / mole / second ** 2,17.392986716045936 kilogram * meter ** 2 / mole / second ** 2,,
1,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,-4.4763098382702773e-07 meter ** 3 / mole,1.777632147555621e-08 meter ** 3 / mole,,,,,,,,
2,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7275,C(CBr)Br,0.2725,,,,,,,-628.3313077194616 kilogram * meter ** 2 / mole / second ** 2,18.168095677944134 kilogram * meter ** 2 / mole / second ** 2,,
3,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2547,CCCCOC(=O)C,0.7453000000000001,-5.591113732680088e-07 meter ** 3 / mole,1.7898413028151684e-08 meter ** 3 / mole,,,,,,,,
4,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,,,,,,,-829.2140722366094 kilogram * meter ** 2 / mole / second ** 2,17.186277292190727 kilogram * meter ** 2 / mole / second ** 2,,
5,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7476,CCCCOC(=O)C,0.2524,-6.255985981422607e-07 meter ** 3 / mole,1.7818968577898984e-08 meter ** 3 / mole,,,,,,,,
6,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7661,CCCCOC(=O)C,0.2339,,,,,,,-802.7296006402867 kilogram * meter ** 2 / mole / second ** 2,18.953222729361457 kilogram * meter ** 2 / mole / second ** 2,,
7,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,3.4306288785850166e-07 meter ** 3 / mole,1.8979474852309774e-08 meter ** 3 / mole,,,,,,,,
8,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,,,167.28784959940822 kilogram * meter ** 2 / mole / second ** 2,17.64663670148343 kilogram * meter ** 2 / mole / second ** 2,,
9,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,,,291.68894373317016 kilogram * meter ** 2 / mole / second ** 2,16.67470192789683 kilogram * meter ** 2 / mole / second ** 2,,
10,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,5.090987446098244e-07 meter ** 3 / mole,1.8034839077288733e-08 meter ** 3 / mole,,,,,,,,
11,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2681,c1ccncc1,0.7319,,,,,,,-1328.538654553442 kilogram * meter ** 2 / mole / second ** 2,18.760889642894856 kilogram * meter ** 2 / mole / second ** 2,,
12,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2374,c1ccncc1,0.7626,-2.9914318010060693e-07 meter ** 3 / mole,1.858581742045461e-08 meter ** 3 / mole,,,,,,,,
13,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7735,c1ccncc1,0.2265000000000001,,,,,,,-1044.3318060516322 kilogram * meter ** 2 / mole / second ** 2,17.965679494605787 kilogram * meter ** 2 / mole / second ** 2,,
14,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7678,c1ccncc1,0.2322,-2.502526116822428e-07 meter ** 3 / mole,1.6899553068123487e-08 meter ** 3 / mole,,,,,,,,
15,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2715,Cc1ccncc1,0.7284999999999999,,,,,,,-1300.5098293881747 kilogram * meter ** 2 / mole / second ** 2,19.16817212376918 kilogram * meter ** 2 / mole / second ** 2,,
16,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2655,Cc1ccncc1,0.7344999999999999,-3.6633906215529483e-07 meter ** 3 / mole,1.7973177217117045e-08 meter ** 3 / mole,,,,,,,,
17,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7827,Cc1ccncc1,0.21730000000000005,,,,,,,-856.6380876988405 kilogram * meter ** 2 / mole / second ** 2,16.919644966278145 kilogram * meter ** 2 / mole / second ** 2,,
18,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7674,Cc1ccncc1,0.2326000000000001,-1.9550953145256041e-07 meter ** 3 / mole,1.6941899452860628e-08 meter ** 3 / mole,,,,,,,,
19,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,,,211.21057509384582 kilogram * meter ** 2 / mole / second ** 2,17.278736940069916 kilogram * meter ** 2 / mole / second ** 2,,
20,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,-2.468299246394121e-07 meter ** 3 / mole,1.5674320403969496e-08 meter ** 3 / mole,,,,,,,,
21,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,,,269.0521164642196 kilogram * meter ** 2 / mole / second ** 2,16.883452623184084 kilogram * meter ** 2 / mole / second ** 2,,
22,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,-2.6891671310366586e-07 meter ** 3 / mole,1.722632751999639e-08 meter ** 3 / mole,,,,,,,,
23,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2762,C1CCC(=O)CC1,0.7238,,,,,,,529.4283481332495 kilogram * meter ** 2 / mole / second ** 2,17.87939757184499 kilogram * meter ** 2 / mole / second ** 2,,
24,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2241,C1CCC(=O)CC1,0.7759,1.9660558876512517e-07 meter ** 3 / mole,1.4859611719680484e-08 meter ** 3 / mole,,,,,,,,
25,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7569,C1CCC(=O)CC1,0.2431,,,,,,,479.4657473160987 kilogram * meter ** 2 / mole / second ** 2,18.557576621474535 kilogram * meter ** 2 / mole / second ** 2,,
26,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7218,C1CCC(=O)CC1,0.2782,1.6892917682368802e-07 meter ** 3 / mole,1.575332529273776e-08 meter ** 3 / mole,,,,,,,,
27,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.27780000000000005,COC=O,0.7222,4.061366869089389e-07 meter ** 3 / mole,1.803819204587103e-08 meter ** 3 / mole,,,,,1144.164519867947 kilogram * meter ** 2 / mole / second ** 2,18.998159438668086 kilogram * meter ** 2 / mole / second ** 2,,
28,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7127,COC=O,0.2873,,,,,,,1204.949862818994 kilogram * meter ** 2 / mole / second ** 2,18.43147061386569 kilogram * meter ** 2 / mole / second ** 2,,
29,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7581,COC=O,0.2419,4.2725542035199787e-07 meter ** 3 / mole,1.634099724290957e-08 meter ** 3 / mole,,,,,,,,
30,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.25680000000000003,CC(=O)OC,0.7432,3.938710215378629e-07 meter ** 3 / mole,1.7684034465802528e-08 meter ** 3 / mole,,,,,,,,
31,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.2372,CC(=O)OC,0.7628,,,,,,,321.3025428643159 kilogram * meter ** 2 / mole / second ** 2,18.94097334031349 kilogram * meter ** 2 / mole / second ** 2,,
32,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7519,CC(=O)OC,0.2481,4.797128115063875e-07 meter ** 3 / mole,1.7428414065296984e-08 meter ** 3 / mole,,,,,,,,
33,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7696000000000001,CC(=O)OC,0.2304,,,,,,,314.5991121949046 kilogram * meter ** 2 / mole / second ** 2,17.34946394511964 kilogram * meter ** 2 / mole / second ** 2,,
34,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.2077,C(=C(Cl)Cl)Cl,0.7923,-6.704627673360941e-11 meter ** 3 / mole,1.7950530592619285e-08 meter ** 3 / mole,,,,,,,,
35,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.7903,C(=C(Cl)Cl)Cl,0.2097,-4.649735651330667e-09 meter ** 3 / mole,1.811391902014196e-08 meter ** 3 / mole,,,,,,,,
36,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.212,C(C(F)(F)F)O,0.7879999999999999,,,,,,,-1374.6118520974414 kilogram * meter ** 2 / mole / second ** 2,16.80836507879275 kilogram * meter ** 2 / mole / second ** 2,,
37,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.7170000000000001,C(C(F)(F)F)O,0.28300000000000003,,,,,,,-1619.197800939146 kilogram * meter ** 2 / mole / second ** 2,18.439549213717715 kilogram * meter ** 2 / mole / second ** 2,,
38,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29705,CO,0.70295,,,,,,,-514.8795095054229 kilogram * meter ** 2 / mole / second ** 2,17.88662869702206 kilogram * meter ** 2 / mole / second ** 2,,
39,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.70985,CO,0.29015,,,,,,,-423.372527308602 kilogram * meter ** 2 / mole / second ** 2,17.459181829869983 kilogram * meter ** 2 / mole / second ** 2,,
40,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29919,CCO,0.7008099999999999,,,,,,,-521.2491178105047 kilogram * meter ** 2 / mole / second ** 2,17.913014300182283 kilogram * meter ** 2 / mole / second ** 2,,
41,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79638,CCO,0.20362,,,,,,,-269.7373539485998 kilogram * meter ** 2 / mole / second ** 2,16.822412715772288 kilogram * meter ** 2 / mole / second ** 2,,
42,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.20133,CCCO,0.79867,,,,,,,-385.07046592837287 kilogram * meter ** 2 / mole / second ** 2,16.579509052509284 kilogram * meter ** 2 / mole / second ** 2,,
43,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79867,CCCO,0.20133,,,,,,,-169.54465879873896 kilogram * meter ** 2 / mole / second ** 2,18.189694761285953 kilogram * meter ** 2 / mole / second ** 2,,
44,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.2551,C(Cl)(Cl)(Cl)Cl,0.7449,,,,,,,974.6076198763044 kilogram * meter ** 2 / mole / second ** 2,16.61381210660048 kilogram * meter ** 2 / mole / second ** 2,,
45,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.7326,C(Cl)(Cl)(Cl)Cl,0.2674,,,,,,,763.9148586075762 kilogram * meter ** 2 / mole / second ** 2,16.731401136338636 kilogram * meter ** 2 / mole / second ** 2,,
46,298.15 kelvin,101.0 kilopascal,2,2,O,0.2554,C(CO)CO,0.7446,-1.4173763200979846e-07 meter ** 3 / mole,1.5701652020811244e-08 meter ** 3 / mole,,,,,,,,
47,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.2087,O,0.7913,,,,,,,65.50617611133202 kilogram * meter ** 2 / mole / second ** 2,17.701821276824123 kilogram * meter ** 2 / mole / second ** 2,,
48,298.15 kelvin,101.0 kilopascal,2,2,O,0.7551,C(CO)CO,0.2449,-2.7727585821523887e-07 meter ** 3 / mole,1.4173639369686761e-08 meter ** 3 / mole,,,,,,,,
49,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.743,O,0.257,,,,,,,-36.971710714344226 kilogram * meter ** 2 / mole / second ** 2,16.058706998399767 kilogram * meter ** 2 / mole / second ** 2,,
